True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,188,1.962,0.016,0.11,0.013,0.249,0.778,0.815,0.005,0.022,153
,189,1.956,0.006,0.073,0.005,0.239,0.824,0.874,0.007,0.023,251
,190,1.949,0.013,0.085,0,0.261,0.815,0.85,0.01,0.025,216
,191,1.938,0.013,0.084,0.001,0.261,0.838,0.847,0.01,0.022,144
,192,1.96,0.004,0.07,0.014,0.219,0.84,0.862,0.005,0.031,242
,193,1.945,0.012,0.093,0.001,0.235,0.856,0.831,0.005,0.032,119
,194,1.942,0.014,0.091,0,0.277,0.799,0.851,0.008,0.028,211
,195,1.933,0.014,0.105,0.004,0.266,0.824,0.825,0.01,0.032,246
,196,1.942,0.012,0.089,0.003,0.265,0.822,0.844,0.008,0.026,184
,197,1.943,0.015,0.096,0,0.246,0.86,0.81,0.007,0.036,212
,198,1.943,0.004,0.095,0.004,0.202,0.854,0.882,0.005,0.021,169
,199,1.934,0.013,0.109,0.004,0.253,0.832,0.83,0.006,0.029,119
,200,1.943,0.016,0.107,0.003,0.26,0.824,0.811,0.008,0.028,192
,201,1.938,0.014,0.103,0.003,0.264,0.815,0.84,0.005,0.03,364
,202,1.942,0.014,0.096,0.001,0.246,0.841,0.834,0.005,0.026,152
,203,1.932,0.017,0.102,0.005,0.278,0.794,0.848,0.007,0.027,249
,204,1.93,0.009,0.121,0.009,0.18,0.835,0.891,0.004,0.029,292
,205,1.932,0.008,0.11,0.002,0.312,0.632,0.989,0.007,0.023,146
,206,1.932,0.013,0.114,0.002,0.257,0.853,0.802,0.008,0.029,149
,207,1.929,0.019,0.105,0.002,0.273,0.81,0.84,0.007,0.028,165
,208,1.936,0.015,0.103,0.004,0.274,0.783,0.861,0.006,0.029,184
,209,1.942,0.015,0.094,0.001,0.262,0.835,0.82,0.008,0.029,142
,210,1.939,0.015,0.087,0,0.276,0.823,0.834,0.007,0.032,179
,211,1.945,0.015,0.096,0.001,0.248,0.847,0.817,0.007,0.029,156
,212,1.963,0.006,0.094,0.008,0.176,0.856,0.858,0.005,0.026,165
,213,1.988,0.006,0.079,0.01,0.268,0.772,0.815,0.008,0.028,130
,214,1.965,0.008,0.104,0.007,0.245,0.796,0.828,0.005,0.023,155
,215,1.98,0.007,0.09,0.006,0.162,0.81,0.901,0.005,0.013,99
,216,1.981,0.009,0.078,0.01,0.269,0.744,0.858,0.006,0.019,78
,217,1.973,0.007,0.084,0.013,0.226,0.751,0.903,0.005,0.02,96
,218,1.951,0.015,0.132,0.014,0.249,0.799,0.773,0.007,0.038,121
,219,1.969,0.006,0.098,0.01,0.162,0.839,0.874,0.003,0.02,201
,220,1.978,0.005,0.072,0.018,0.182,0.808,0.893,0.003,0.024,188
,221,1.992,0.003,0.072,0.011,0.195,0.819,0.853,0.006,0.025,100
,222,1.985,0.003,0.072,0.019,0.197,0.802,0.869,0.005,0.023,118
,223,1.963,0.014,0.079,0.006,0.267,0.823,0.807,0.007,0.025,177
,224,1.966,0.006,0.081,0.016,0.295,0.703,0.89,0.008,0.023,210
,225,1.97,0.007,0.086,0.017,0.199,0.84,0.83,0.006,0.03,122
,226,1.978,0.004,0.078,0.016,0.169,0.788,0.92,0.004,0.027,141
,227,1.973,0.004,0.078,0.025,0.166,0.802,0.906,0.003,0.025,121
,228,1.983,0.006,0.066,0.012,0.209,0.822,0.857,0.005,0.024,170
